day,month,year,opening_value,close_value,min_value,max_value,volume
30,5,2008,13582.000,13600.900,13540.700,13630.700,3270334
29,5,2008,13573.300,13539.500,13430.100,13631.700,2896396
28,5,2008,13504.600,13499.200,13397.900,13598.800,3090091
27,5,2008,13624.100,13451.400,13445.100,13664.200,3069608
26,5,2008,13524.300,13583.700,13514.200,13614.000,1393077
23,5,2008,13863.400,13577.600,13577.600,13863.600,2966103
22,5,2008,13742.300,13852.000,13667.300,13886.300,3866939
21,5,2008,14047.300,13857.200,13803.100,14049.200,3065134
20,5,2008,14158.400,13992.100,13973.600,14166.700,2939205
19,5,2008,14148.900,14247.600,14110.200,14247.600,2247973
16,5,2008,14255.200,14124.800,14078.200,14301.300,3405726
15,5,2008,14145.400,14186.400,14078.900,14186.400,2218620
14,5,2008,14068.300,14187.200,14033.200,14214.600,2991932
13,5,2008,14111.600,14016.400,13959.300,14138.500,2780953
12,5,2008,13991.400,14053.900,13987.400,14108.400,2258645
9,5,2008,14000.300,13945.100,13843.900,14015.200,2872740
8,5,2008,13898.000,14074.000,13881.300,14074.000,2676814
7,5,2008,14036.900,14026.800,14004.100,14091.300,2750736
6,5,2008,14071.300,14005.800,13884.500,14120.300,3331008
5,5,2008,14049.200,14074.000,13974.000,14122.800,1751000
2,5,2008,13916.200,14060.000,13913.400,14169.200,3862777
30,4,2008,13698.400,13798.300,13561.200,13798.300,2852924
29,4,2008,13803.100,13707.200,13668.800,13834.800,3039787
28,4,2008,13766.800,13877.800,13766.800,13904.200,2691180
25,4,2008,13731.300,13772.800,13693.700,13832.600,3077128
24,4,2008,13633.700,13669.200,13426.600,13669.200,3327542
23,4,2008,13617.000,13663.000,13466.200,13683.000,3793808
22,4,2008,13681.300,13593.400,13537.300,13696.300,2819416
21,4,2008,13927.200,13728.900,13677.200,13933.200,2966088
18,4,2008,13631.700,13924.900,13621.200,13945.700,3479898
17,4,2008,13673.200,13568.700,13537.700,13681.500,2873793
16,4,2008,13528.800,13637.600,13442.300,13652.100,3142328
15,4,2008,13274.200,13408.900,13263.100,13444.900,3901956
14,4,2008,13214.800,13160.300,13106.800,13241.600,2976155
11,4,2008,13570.300,13278.300,13226.400,13613.700,3204127
10,4,2008,13560.200,13507.900,13309.500,13566.000,3166738
9,4,2008,13692.000,13599.000,13579.100,13734.500,3081014
8,4,2008,13861.200,13759.400,13675.000,13862.600,2900138
7,4,2008,13906.700,13919.600,13863.000,14019.600,3081586
4,4,2008,13777.400,13846.400,13695.300,13846.400,4478697
3,4,2008,13839.500,13738.900,13619.900,13844.700,3566857
2,4,2008,13782.900,13838.700,13692.500,13841.500,3780190
1,4,2008,13205.600,13699.100,13194.000,13699.100,4138651
31,3,2008,13359.300,13269.000,13181.100,13370.300,3278671
28,3,2008,13556.900,13442.400,13413.400,13578.500,3151705
27,3,2008,13357.500,13537.900,13355.000,13596.400,3441518
26,3,2008,13377.800,13403.000,13299.900,13426.600,3370939
25,3,2008,13370.400,13434.200,13304.900,13434.200,4285254
20,3,2008,12840.200,12964.200,12790.200,13048.600,5181484
19,3,2008,13152.100,12964.700,12874.300,13196.000,3959428
18,3,2008,12891.600,13030.500,12780.100,13037.000,3610110
17,3,2008,12678.100,12656.000,12638.400,12871.900,4236123
14,3,2008,13088.700,13021.400,12905.300,13312.500,3778950
13,3,2008,12925.800,13073.200,12848.800,13106.200,4233599
12,3,2008,13272.300,13131.300,13080.300,13291.600,3985708
11,3,2008,12743.700,13056.100,12713.200,13138.000,4987458
10,3,2008,12673.000,12655.000,12571.400,12835.200,3504697
7,3,2008,12673.600,12691.300,12583.500,12818.700,4043644
6,3,2008,12981.800,12803.300,12746.500,12993.700,3596079
5,3,2008,12731.800,12948.100,12682.500,12968.700,3290206
4,3,2008,12913.100,12630.100,12584.800,12957.000,0
3,3,2008,12998.000,12862.500,12829.500,13020.700,0
29,2,2008,13204.000,13170.400,13055.800,13306.000,0
28,2,2008,13398.600,13272.100,13274.800,13439.500,0
27,2,2008,13461.200,13454.300,13255.400,13505.500,0
26,2,2008,13222.400,13436.600,13182.400,13444.700,0
25,2,2008,13141.800,13156.600,12995.400,13180.300,0
22,2,2008,13055.400,13017.500,12960.900,13155.300,0
21,2,2008,13150.700,13173.000,13116.200,13288.100,0
20,2,2008,13096.800,13080.400,12998.200,13138.900,0
19,2,2008,13260.000,13269.700,13044.000,13393.000,0
18,2,2008,13155.500,13312.200,13147.400,13347.200,0
15,2,2008,13292.900,13073.900,12979.700,13381.500,0
14,2,2008,13420.700,13313.200,13252.000,13455.900,0
13,2,2008,13137.100,13266.700,13095.800,13342.100,0
12,2,2008,12926.700,13254.700,12808.700,13253.900,0
11,2,2008,12830.100,12818.800,12774.100,13029.200,0
8,2,2008,12964.500,12934.800,12768.700,13068.100,0
7,2,2008,13010.700,12889.500,12724.300,13060.500,0
6,2,2008,12739.400,13037.300,12721.400,13084.900,0
5,2,2008,13464.100,12814.700,12781.500,13466.300,0
4,2,2008,13608.300,13515.700,13476.500,13652.100,0
1,2,2008,13440.700,13494.700,13320.400,13550.000,0
31,1,2008,13281.500,13229.000,12958.300,13338.500,0
30,1,2008,13185.100,13217.100,13117.700,13381.300,0
29,1,2008,13120.900,13246.600,13050.300,13309.000,0
28,1,2008,12880.300,13026.700,12813.100,13080.100,0
25,1,2008,13295.500,13141.100,13100.400,13491.000,0
24,1,2008,12556.600,13106.700,12490.600,13106.700,0
23,1,2008,13020.000,12254.600,12164.100,13038.100,0
22,1,2008,12509.300,12839.700,11937.200,12909.200,0
21,1,2008,13477.100,12625.800,12634.500,13494.400,0
18,1,2008,13740.100,13655.400,13608.200,13997.400,0
17,1,2008,13981.700,13775.600,13731.200,13995.000,0
16,1,2008,13806.300,13817.100,13687.600,14054.800,0
15,1,2008,14362.900,13945.200,13945.200,14394.900,0
14,1,2008,14398.000,14431.900,14343.400,14540.900,0
11,1,2008,14501.900,14458.000,14428.700,14568.700,0
10,1,2008,14672.400,14524.000,14480.100,14684.900,0
9,1,2008,14577.900,14603.500,14471.200,14665.100,0
8,1,2008,14707.300,14670.500,14673.900,14808.800,0
7,1,2008,14551.700,14667.000,14529.500,14701.500,0
4,1,2008,14794.300,14602.300,14511.000,14867.100,0
3,1,2008,14966.100,14856.500,14769.600,15016.400,0
2,1,2008,15101.900,15002.500,14971.400,15186.000,0
28,12,2007,15202.000,15182.300,15124.900,15251.700,2438015
27,12,2007,15344.200,15256.200,15178.700,15397.900,3056601
21,12,2007,15299.200,15289.300,15233.800,15348.300,5795125
20,12,2007,15213.500,15140.200,15107.400,15271.800,3560717
19,12,2007,15329.600,15177.100,15183.900,15350.700,4287084
18,12,2007,15282.900,15282.100,15276.100,15441.400,3852878
17,12,2007,15404.400,15318.500,15302.700,15444.500,3500158
14,12,2007,15564.100,15575.700,15429.500,15596.200,3303958
13,12,2007,15755.600,15499.200,15486.500,15757.100,4521227
